Mandant;Belegdatum;Lieferant;Belegnummer;Beschreibung;Netto;USt-Satz;USt;Brutto;Währung;Zahlart;Status;Hinweis;Beleg (PDF);E-Mail-Link
Blickwinkel FlexCo;05.04.2026;Paddle (Cloud Starter);77572627-160038174;Cloud Starter Monatsabo;24,00;20 %;4,80;28,80;EUR;Kreditkarte (Abo);bezahlt;Beleg-PDF über Link in der E-Mail abrufbar;;https://mail.google.com/mail/u/0/#all/19d5b61e81f848bc
Blickwinkel FlexCo;16.04.2026;APM Autoteile GmbH (über AUTODOC Marketplace);MP1715934-A;2× Bremsbeläge Frankberg, Art. 5481FB0080171, Bestellung MP1715934-A;;;;206,98;EUR;PayPal;bezahlt;Rechnung wurde nie zugestellt – bei AUTODOC/APM anfordern;;https://mail.google.com/mail/u/0/#all/19d9782aba28b0bd
Blickwinkel FlexCo;17.04.2026;Anthropic Ireland, Limited;9BF0758D-1159957;Claude Pro Jahresabo 17.04.2026–17.04.2027;;;;180,00;EUR;Kreditkarte •1652;bezahlt;;Invoice-9BF0758D-1159957.pdf, Receipt-2828-8920.pdf;https://mail.google.com/mail/u/0/#all/19d9aff3e9ffb5ae
Blickwinkel FlexCo;21.04.2026;Digistore24 GmbH;I-106958504;"Avatar Creator Studio ""Pro"" (einmalig), Bestell-ID TYVP9YTA";;;;105,84;EUR;PayPal;bezahlt;;Rechnung_TYVP9YTA_I-106958504-de.pdf;https://mail.google.com/mail/u/0/#all/19daffb8b1233b25
Blickwinkel FlexCo;29.04.2026;Anthropic Ireland, Limited;9BF0758D-1596087;Claude – zusätzliches Guthaben (Prepaid usage);;;;38,25;EUR;Kreditkarte •1652;bezahlt;;Invoice-9BF0758D-1596087.pdf, Receipt-2199-2048.pdf;https://mail.google.com/mail/u/0/#all/19dd86b2b6adaf40
Blickwinkel FlexCo;02.05.2026;Google Cloud;5565281401;Google Cloud Platform & APIs, Konto 01BC74-23000C-24806C;;;;;EUR;Kreditkarte (automatisch);bezahlt;Betrag im PDF-Anhang (Zahlungen 0,42 € am 01.05. und 12,72 € am 08.05. erhalten);5565281401.pdf;https://mail.google.com/mail/u/0/#all/19de7412f14aa6d6
Blickwinkel FlexCo;02.05.2026;Google Ads;5568244226;Google Ads, Kundennr. 893-230-5066;;;;;EUR;Kreditkarte (automatisch);bezahlt;"PDF im Google-Ads-Portal; Zahlung 240,70 € am 04.05. erhalten";;https://mail.google.com/mail/u/0/#all/19de74e9eb5fb569
Blickwinkel FlexCo;05.05.2026;Paddle (Cloud Starter);77572627-161942801;Cloud Starter Monatsabo;24,00;20 %;4,80;28,80;EUR;Kreditkarte (Abo);bezahlt;Beleg-PDF über Link in der E-Mail abrufbar;;https://mail.google.com/mail/u/0/#all/19df5d8127a35d0c
Blickwinkel FlexCo;02.06.2026;Google Ads;5595088070;Google Ads, Kundennr. 893-230-5066;;;;;EUR;SEPA-Lastschrift (Bankkonto •6863, automatisch);bezahlt;"Karte wurde im Juni mehrfach abgelehnt; Google hat daraufhin auf SEPA-Lastschrift vom Bankkonto •6863 umgestellt (bestätigt 03.06.). Zahlung 500,00 € am 15.06. bestätigt eingegangen. Automatisch, keine Aktion nötig.";;https://mail.google.com/mail/u/0/#all/19e8700fbb091ea8
Blickwinkel FlexCo;02.06.2026;Google Cloud;5597135602;Google Cloud Platform & APIs, Konto 01BC74-23000C-24806C;;;;;EUR;Kreditkarte (automatisch);bezahlt;Betrag im PDF-Anhang;5597135602.pdf;https://mail.google.com/mail/u/0/#all/19e8852df64ebc77
Blickwinkel FlexCo;05.06.2026;Paddle (Cloud Starter);77572627-163769390;Cloud Starter Monatsabo;24,00;20 %;4,80;28,80;EUR;Kreditkarte (Abo);bezahlt;Beleg-PDF über Link in der E-Mail abrufbar;;https://mail.google.com/mail/u/0/#all/19e957d0c65c4eac
Blickwinkel FlexCo;13.06.2026;Anthropic Ireland, Limited;9BF0758D-2971703;Claude – zusätzliches Guthaben (Prepaid usage);;;;38,25;EUR;Kreditkarte •1652;bezahlt;;Invoice-9BF0758D-2971703.pdf, Receipt-2701-5399.pdf;https://mail.google.com/mail/u/0/#all/19ec092ddd42e3b1
Blickwinkel FlexCo;14.06.2026;OpenAI;;ChatGPT Business Jahresabo (Workspace), sub_1TiTVEKslHRdbaPgJ1mWfMEj;420,00;20 %;84,00;504,00;EUR;Mastercard •1652;bezahlt;Rechnungs-PDF im OpenAI-Portal (platform.openai.com → Billing) herunterladen;;https://mail.google.com/mail/u/0/#all/19ec9da33dc8a77d
Blickwinkel FlexCo;29.06.2026;Copteruni (Walsrode, DE);ORD013892;A2 Bundle Drohnen-Kurs, Bestellung ORD013892 – Reverse Charge (UID ATU82873525);299,00;0 %;0,00;299,00;EUR;Link (Stripe);bezahlt;Reverse-Charge-Beleg – USt schuldet der Empfänger;"Rechnung A2 Bundle (PDF im Anhang der E-Mail ""Hier kommt deine Rechnung"")";https://mail.google.com/mail/u/0/#all/19f13841c372ddb5
Blickwinkel FlexCo;29.06.2026;AUTODOC SE;125262925;Autoteile, Bestellung 172174054;;;;41,49;EUR;PayPal (29.06.2026);bezahlt;"PayPal-Zahlung 41,49 € am 29.06. (Referenz 172174054); Betrag aus PayPal übernommen";125262925_172174054.pdf;https://mail.google.com/mail/u/0/#all/19f154a9fb1e2719
Blickwinkel FlexCo;02.07.2026;Google Cloud;5624226018;Google Cloud Platform & APIs, Konto 01BC74-23000C-24806C;;;;;EUR;Kreditkarte (automatisch);bezahlt;Betrag im PDF-Anhang;5624226018.pdf;https://mail.google.com/mail/u/0/#all/19f1fc546450637c
Blickwinkel FlexCo;02.07.2026;Google Ads;5620007578;Google Ads, Kundennr. 893-230-5066;;;;;EUR;SEPA-Lastschrift (Bankkonto •6863, automatisch);bezahlt;Läuft seit 03.06. automatisch per SEPA-Lastschrift vom Bankkonto •6863 (Vorankündigungen 15.06./22.06./01.07., keine Ablehnung seither). Automatisch, keine Aktion nötig.;;https://mail.google.com/mail/u/0/#all/19f20e560f94e9d9
Blickwinkel FlexCo;05.07.2026;Paddle (Cloud Starter);77572627-165527806;Cloud Starter Monatsabo;24,00;20 %;4,80;28,80;EUR;Kreditkarte (Abo);bezahlt;Beleg-PDF über Link in der E-Mail abrufbar;;https://mail.google.com/mail/u/0/#all/19f2fef723b857f3
Blickwinkel FlexCo;06.07.2026;Schwingungsdämpfer Dresden GmbH;1263900;Rechnung 1263900 zu Bestellung 201583;;;;67,21;EUR;PayPal (02.07.2026, TX 1L029546GU3166333);bezahlt;"Bereits bei Bestellung per PayPal bezahlt (67,21 € am 02.07., Verwendungszweck ""Bestellung 201583"") – KEINE Zahlung mehr nötig";Rechnung 1263900 (PDF im Outlook-Anhang);https://outlook.office365.com/owa/?ItemID=AQMkADdlNWUyNDBiLTFlNGYtNGZhMC04NjUzLWY0ZmFkYTkyMWU4NwBGAAADmJeibKI1z0SWP4o%2BEXRBlQcAO%2BzgbwJ6D0Kjlh6wiv0hrQAAAgEMAAAAO%2BzgbwJ6D0Kjlh6wiv0hrQADIHtK2wAAAA%3D%3D&exvsurl=1&viewmodel=ReadMessageItem
Blickwinkel FlexCo;06.07.2026;Lindlbauer Markus Profitechnik (Schmiertechnik);;Rechnung mit Bitte um Zahlung;68,94;20 %;13,79;82,73;EUR;Überweisung;offen;Zahlungsdaten aus der Original-Rechnung im Anhang ausgelesen: IBAN/BIC bestätigt, zahlbar bis 16.07.2026.;RE-202607_074 06.07.2026 13_07_41.pdf;https://outlook.office365.com/owa/?ItemID=AQMkADdlNWUyNDBiLTFlNGYtNGZhMC04NjUzLWY0ZmFkYTkyMWU4NwBGAAADmJeibKI1z0SWP4o%2BEXRBlQcAO%2BzgbwJ6D0Kjlh6wiv0hrQAAAgEMAAAAO%2BzgbwJ6D0Kjlh6wiv0hrQADIHtK2gAAAA%3D%3D&exvsurl=1&viewmodel=ReadMessageItem
Blickwinkel FlexCo;06.07.2026;Maschinenring;;Maschinenring-Originalrechnung(en) per E-Mail;;;;;EUR;vermutlich SEPA-Einzug (Aviso);klären;"MR bucht üblicherweise per Einzug ab (siehe mr-aviso-Ordner) – prüfen, ob Einzug oder Überweisung nötig; ggf. Mandant Weissauer_Gut statt FlexCo";Maschinenring-Rechnung (PDF im Outlook-Anhang);https://outlook.office365.com/owa/?ItemID=AQMkADdlNWUyNDBiLTFlNGYtNGZhMC04NjUzLWY0ZmFkYTkyMWU4NwBGAAADmJeibKI1z0SWP4o%2BEXRBlQcAO%2BzgbwJ6D0Kjlh6wiv0hrQAAAgEMAAAAO%2BzgbwJ6D0Kjlh6wiv0hrQADIHtK4QAAAA%3D%3D&exvsurl=1&viewmodel=ReadMessageItem
Blickwinkel FlexCo;06.07.2026;Magenta Telekom;6.152663-07/2026;Magenta Business Rechnung, Kundennummer 6.152663;;;;164,66;EUR;SEPA-Lastschrift (vermutlich, monatlich wiederkehrend – nie eine Ablehnung gesehen);bezahlt;"Fällig 21.07.2026. Bisher nie eine Ablehnung/Mahnung von Magenta gesehen – vermutlich automatischer Einzug wie bei den Vormonaten; im Zweifel per Odoo-Bankabgleich verifizieren.";Magenta-Rechnung Juli 2026 (PDF im Outlook-Anhang);https://outlook.office365.com/owa/?ItemID=AQMkADdlNWUyNDBiLTFlNGYtNGZhMC04NjUzLWY0ZmFkYTkyMWU4NwBGAAADmJeibKI1z0SWP4o%2BEXRBlQcAO%2BzgbwJ6D0Kjlh6wiv0hrQAAAgEMAAAAO%2BzgbwJ6D0Kjlh6wiv0hrQADIjgbcgAAAA%3D%3D&exvsurl=1&viewmodel=ReadMessageItem
Blickwinkel FlexCo;07.07.2026;Drohnenring Vertrieb (DACH);RE-2026-00014-T30;Rechnung RE-2026-00014-T30 – ZAHLUNGSERINNERUNG am 07.07. erhalten;1.800,00;20 %;360,00;2.179,90;EUR;Überweisung;offen;DRINGEND – bereits seit 12.06.2026 überfällig (Mahnung erhalten). Zahlungsdaten aus der Original-Rechnung im Anhang ausgelesen: IBAN/BIC bestätigt.;Rechnung_RE-2026-00014-T30.pdf;https://outlook.office365.com/owa/?ItemID=AQMkADdlNWUyNDBiLTFlNGYtNGZhMC04NjUzLWY0ZmFkYTkyMWU4NwBGAAADmJeibKI1z0SWP4o%2BEXRBlQcAO%2BzgbwJ6D0Kjlh6wiv0hrQAAAgEMAAAAO%2BzgbwJ6D0Kjlh6wiv0hrQADIHtK%2FwAAAA%3D%3D&exvsurl=1&viewmodel=ReadMessageItem
Blickwinkel FlexCo;08.07.2026;Globe Flight GmbH;RN12271331;Drohnen-/Zubehörrechnung RN12271331, Kundennummer 83376;16.078,91;0 %;0,00;16.078,91;EUR;Überweisung;offen;DRINGEND – bereits seit 03.07.2026 überfällig (Mahnung erhalten). Zahlungsdaten aus XRechnung (XML-Anhang) ausgelesen: IBAN/BIC/Adresse bestätigt, MwSt-frei (innergemeinschaftliche Lieferung, Dual-Use-Gut).;Rechnung RN12271331.pdf, Zahlungserinnerung zur Rechnung RN12271331.pdf, xrechnung_Invoice RN12271331.xml;https://outlook.office365.com/owa/?ItemID=AQMkADdlNWUyNDBiLTFlNGYtNGZhMC04NjUzLWY0ZmFkYTkyMWU4NwBGAAADmJeibKI1z0SWP4o%2BEXRBlQcAO%2BzgbwJ6D0Kjlh6wiv0hrQAAAgEMAAAAO%2BzgbwJ6D0Kjlh6wiv0hrQADIjgbagAAAA%3D%3D&exvsurl=1&viewmodel=ReadMessageItem
Blickwinkel FlexCo;08.07.2026;Emlid B2B (eu.b2b.emlid.com);2011;Order #2011 / PO S00146: Quick Release Adapter, Smartphone Mount, Survey Pole, Reach RX2;;;;1.996,80;EUR;Kreditkarte •1652 (bei Bestellung belastet);bezahlt;Bestellbestätigung nennt Zahlung per Karte •1652 – Rechnung/Beleg noch im Emlid-Portal (eu.b2b.emlid.com) abrufen;;https://outlook.office365.com/owa/?ItemID=AQMkADdlNWUyNDBiLTFlNGYtNGZhMC04NjUzLWY0ZmFkYTkyMWU4NwBGAAADmJeibKI1z0SWP4o%2BEXRBlQcAO%2BzgbwJ6D0Kjlh6wiv0hrQAAAgEMAAAAO%2BzgbwJ6D0Kjlh6wiv0hrQADIjgbewAAAA%3D%3D&exvsurl=1&viewmodel=ReadMessageItem
Blickwinkel FlexCo;09.07.2026;ASFINAG;;Erneuerung Mehrfahrten-Karte RI-321GB;;;;80,00;EUR;PayPal (automatisch, hinterlegtes Zahlungsmittel);bezahlt;Automatische Verlängerung, kann laut Mail einige Tage dauern. Rechnung/Beleg im ASFINAG-Kundenkonto abrufbar. Mandant prüfen (Fahrzeug FlexCo oder Weissauer Gut?).;;https://outlook.office365.com/owa/?ItemID=AQMkADdlNWUyNDBiLTFlNGYtNGZhMC04NjUzLWY0ZmFkYTkyMWU4NwBGAAADmJeibKI1z0SWP4o%2BEXRBlQcAO%2BzgbwJ6D0Kjlh6wiv0hrQAAAgEMAAAAO%2BzgbwJ6D0Kjlh6wiv0hrQADI4MylQAAAA%3D%3D&exvsurl=1&viewmodel=ReadMessageItem
Blickwinkel FlexCo;09.07.2026;Magenta Telekom;1.19667990-07/2026;Magenta Rechnung, Kundennummer 1.19667990 (zweites/separates Konto);;;;2,52;EUR;SEPA-Lastschrift (vermutlich, wie Kundennr. 6.152663);bezahlt;Fällig 16.07.2026. Zweites Magenta-Konto neben Kundennr. 6.152663 – evtl. eigene SIM/Zusatzleistung, ggf. mit Gündüz klären ob beide betrieblich sind.;Magenta-Rechnung Juli 2026 Kundennr. 1.19667990 (PDF im Outlook-Anhang);https://outlook.office365.com/owa/?ItemID=AQMkADdlNWUyNDBiLTFlNGYtNGZhMC04NjUzLWY0ZmFkYTkyMWU4NwBGAAADmJeibKI1z0SWP4o%2BEXRBlQcAO%2BzgbwJ6D0Kjlh6wiv0hrQAAAgEMAAAAO%2BzgbwJ6D0Kjlh6wiv0hrQADIuA0dwAAAA%3D%3D&exvsurl=1&viewmodel=ReadMessageItem
